code,question,id,reference,prediction,accuracy.score,completeness.score,relevance.score,clarity.score
def configure boto logging l logging get Logger 'boto' l set Level logging DEBUG static create sc config dirs lh logging handlers Rotating File Handler static AWS DEBUG FILE max Bytes 1048576 backup Count 2 lh set Level logging DEBUG format 'PID %s' % str static PID + '% levelname - 3s[% asctime s % msecs 03 d]% name s % message s' date format '%Y%m%d-%H %M %S'lh set Formatter logging Formatter format date format l add Handler lh,For what purpose do boto log to a file ?,q10493,for debug,Debugging purpose,3,3,3,3
def cache provider details conn None DETAILS['avail locations'] {}DETAILS['avail sizes'] {}DETAILS['avail images'] {}locations avail locations conn images avail images conn sizes avail sizes conn for key location in six iteritems locations DETAILS['avail locations'][location['name']] location DETAILS['avail locations'][key] locationfor key image in six iteritems images DETAILS['avail images'][image['name']] image DETAILS['avail images'][key] imagefor key vm size in six iteritems sizes DETAILS['avail sizes'][vm size['name']] vm size DETAILS['avail sizes'][key] vm size,In which direction do we go to the api ?,q18269,out,Outbound API call,2,2,3,3
def get Evaluated Int By Keys default Value element Node keys for key in keys default Value get Evaluated Int default Value element Node key return default Value,In which direction did by keys evaluate ?,q5040,int,Upward,1,1,2,3
def validate email unique email for user None existing accounts get user model objects filter email email existing email Email Address objects filter email email if for user is not None existing accounts existing accounts exclude pk for user pk existing email existing email exclude user for user if existing accounts exists or existing email exists raise Validation Error ' Auserwiththatemailaddressalreadyexists',Does it exist in the system already ?,q3501,No,No duplicates allowed.,2,2,3,2
def bbox artist artist renderer props None fill True if props is None props {}props props copy pad props pop u'pad' 4 pad renderer points to pixels pad bbox artist get window extent renderer l b w h bbox boundsl - pad / 2 0 b - pad / 2 0 w + padh + padr Rectangle xy l b width w height h fill fill r set transform transforms Identity Transform r set clip on False r update props r draw renderer,Where do a debug function draw a rectangle ?,q18580,around the bounding box returned by : meth :~ matplotlib,  Debug function draws rectangle around bounding box.,2,2,3,3
def Application Error app e pass,When does code run ?,q16352,when an unhandled error occurs,Unhandled error occurs.,2,2,3,2
def str 2 pyval string try return ast literal eval string except Value Error Syntax Error return PYVALS get string string,Does this function return a python object ?,q1070,Yes,"
Yes. Python Object.",3,3,3,3
"def open Explorer Path filename if sys platform 'win 32 ' or sys platform 'cygwin' subprocess Popen 'explorer""%s""' % filename if sys platform 'darwin' subprocess Popen ['open' filename] if sys platform startswith 'linux' if os path isfile '/usr/bin/xdg-open' subprocess Popen ['/usr/bin/xdg-open' filename]",Where does the code open a file dialog ?,q5667,inside a directory,The code opens a file dialog inside a directory to select and open a file.,2,2,3,3
def device to device dst src size stream 0 varargs []if stream assert isinstance stream Stream fn driver cu Memcpy Dto D Asyncvarargs append stream handle else fn driver cu Memcpy Dto Dfn device pointer dst device pointer src size *varargs,Till when should it be not changed ?,q4291,until the operation which can be asynchronous completes,Asynchronous operation completes,2,2,3,3
def convert basic txt title '' epub split size kb 0 txt clean txt txt txt split txt txt epub split size kb lines []blank count 0for line in txt split '\n' if line strip blank count 0lines append u'<p>%s</p>' % prepare string for xml line replace '\n' '' else blank count + 1if blank count 2 lines append u'<p>&nbsp </p>' return HTML TEMPLATE % title u'\n' join lines,What converts to html by putting all paragraphs in <p> tags ?,q16645,plain text,HTML,1,1,2,3
def vserver servicegroup add v name sg name **connection args ret Trueif vserver servicegroup exists v name sg name **connection args return Falsenitro connect **connection args if nitro is None return Falsevsg NSLBV Server Service Group Binding vsg set name v name vsg set servicegroupname sg name try NSLBV Server Service Group Binding add nitro vsg except NS Nitro Error as error log debug 'netscalermoduleerror-NSLBV Server Service Group Binding add failed {0 }' format error ret False disconnect nitro return ret,How do a servicegroup bind to a vserver ?,q8423,cli example,vserver servicegroup add,2,2,3,2
def pager text global pagerpager getpager pager text,When is this called ?,q1686,the first time,This is called when the first time and takes text as an argument.,2,2,3,2
def write path attribute value **kwargs kwargs salt utils clean kwargs **kwargs hex kwargs pop 'hex' False if kwargs salt utils invalid kwargs kwargs cmd ['xattr' '-w']if hex cmd append '-x' cmd extend [attribute value path] try salt utils mac utils execute return success cmd except Command Execution Error as exc if ' Nosuchfile' in exc strerror raise Command Execution Error ' Filenotfound {0 }' format path raise Command Execution Error ' Unknown Error {0 }' format exc strerror return read path attribute **{'hex' hex } value,What does the code cause ?,q2212,the given attribute name to be assigned the given value,The code modifies the xattr of the given path with the given value and returns the attribute value in hex format.,2,2,3,2
def file upload echo content request r dict [ k f read decode u'utf- 8 ' for k f in request FILES items ] return Http Response json dumps r,In which direction do the content of uploaded files echo for tests ?,q7731,back,For testing purposes,1,1,2,2
def resource defaults to name default value extra args None cibname None return item present name name item 'resource' item id '{ 0 } {1 }' format default value item type None show 'defaults' create 'defaults' extra args extra args cibname cibname,Where should a resource default in the cluster is set to a given value be run ?,q8912,on one cluster node,On one cluster node,3,3,3,3
def appendimages im 1 im 2 rows 1 im 1 shape[ 0 ]rows 2 im 2 shape[ 0 ]if rows 1 < rows 2 im 1 concatenate im 1 zeros rows 2 - rows 1 im 1 shape[ 1 ] axis 0 elif rows 1 > rows 2 im 2 concatenate im 2 zeros rows 1 - rows 2 im 2 shape[ 1 ] axis 0 return concatenate im 1 im 2 axis 1,How does a new image append the two images ?,q7058,side - by - side,Synchronously,1,1,2,2
@require contextdef backup get all active by window context begin end None project id None query model query context models Backup read deleted 'yes' query query filter or models Backup deleted at None models Backup deleted at > begin if end query query filter models Backup created at < end if project id query query filter by project id project id return query all,When were backups were active ?,q3766,during window,Active,1,1,2,2
def shutdown signum global WANTDOW Nprint 'SHUTDOWN gotsignal%d willhaltaftercurrentfile ' % signum WANTDOWN True,When do everything stop ?,q8444,after the current files have been processed,  Current file processing completes.,3,2,3,2
def execute 3 *args **kargs cmd args[ 1 -3 ] if args[ 0 ] 'raidcom' else args result EXECUTE TABLE 3 get cmd CMD SUCCEED if cmd 'pairevtwait' '-d' CONFIG MAP['serial'] 1 '-nowaits' '-IM%s' % INST NUMS[ 1 ] EXECUTE TABLE 3 update { 'pairevtwait' '-d' CONFIG MAP['serial'] 1 '-nowaits' '-IM%s' % INST NUMS[ 1 ] vsp horcm PSUE STDOUT STDERR } return result,When do pairevtwaits dummy return value change ?,q11337,after it is called,Dummy value changes after execution.,3,2,3,3
def ipaddrs return proxy ['napalm call'] 'get interfaces ip' **{},Where did ip addresses configure ?,q1765,on the device,Device,2,2,3,3
def db exists name user None password None host None port None dbs db list user password host port if not isinstance dbs list return Falsereturn name in [db['name'] for db in dbs],What do the host connect ?,q17830,to cli example,The code connects to a InfluxDB database.,2,2,2,3
def is installed return get binstar is not None,How did the code instal ?,q9289,binstar - cli,The code installed the package using `binstar`.,2,2,3,3
def normcase p return string lower p,What does the code normalize ?,q14761,the case of a pathname,Directory,1,1,2,3
def weighted lottery weights random random random total sum weights itervalues if total < 0 raise Value Error 'totalweightmustbepositive' r random * total t 0for key weight in weights iteritems if weight < 0 raise Value Error 'weightfor%rmustbenon-negative' % key t + weightif t > r return keyraise Value Error 'weighted lotterymessedup r %r t %r total %r' % r t total,Where are values are weights ?,q2985,a dict,Values are weights,2,2,3,2
def Make Normal Pmf mu sigma num sigmas n 201 pmf Pmf low mu - num sigmas * sigma high mu + num sigmas * sigma for x in np linspace low high n p Eval Normal Pdf x mu sigma pmf Set x p pmf Normalize return pmf,What does the code make ?,q7325,a pmf discrete approx to a normal distribution,A discrete PMF approximation of a normal distribution.,3,3,3,3
def state class str state if state is None return ' None'else return '<%s>' % state class name,How do a string describe an instances class ?,q1675,via its instancestate,"The code defines a function named ""describe_instance"" which takes an instance as its argument and returns a string representation of the instance's class name if the instance is not None.",2,2,2,2
"def get admin index app from django utils text import capfirstfrom django db models import get modelsoutput []app models get models app app label app models[ 0 ] meta app labeloutput append '{%%ifperms %s%%}' % app label output append '<divclass ""module""><h 2 >%s</h 2 ><table>' % app label title for model in app models if model meta admin output append MODULE TEMPLATE % {'app' app label 'mod' model meta module name 'name' capfirst model meta verbose name plural 'addperm' model meta get add permission 'changeperm' model meta get change permission } output append '</table></div>' output append '{%endif%}' return output",For what purpose does admin - index template snippet return ?,q6748,for the given app,Appends admin modules with models and permissions.,2,2,3,2
def save and block module name orig modules saved Truetry orig modules[name] sys modules[name]except Key Error saved Falsesys modules[name] Nonereturn saved,Where do a module block ?,q8171,in sys,The answer is `sys`.,3,3,3,3
def libvlc media player set xwindow p mi drawable f Cfunctions get 'libvlc media player set xwindow' None or Cfunction 'libvlc media player set xwindow' 1 1 None None Media Player ctypes c uint 32 return f p mi drawable,Where should the media player render its video output ?,q1129,where,The media player should render its video output on a specified drawable provided by the user.,2,2,3,3
def enter transaction management thread ident thread get ident if state has key thread ident and state[thread ident] state[thread ident] append state[thread ident][ -1 ] else state[thread ident] []state[thread ident] append settings TRANSACTIONS MANAGED if not dirty has key thread ident dirty[thread ident] False,For what purpose does transaction management enter ?,q14724,for a running thread,To manage transactions for running threads.,3,3,3,3
def auth decorator check auth def decorator method def decorated self *args **kwargs check auth self return method self *args **kwargs decorated name method name decorated doc method doc return decorateddecorator name check auth name decorator doc check auth doc return decorator,Who heard you like decorators ?,q5539,i,Decorator,1,1,2,2
def dump global CONFI Gtable [[' Key' ' Value']]for i in CONFIG opts keys table append [i str CONFIG opts[i]['value'] ] pptable table,Where does the current settings dump ?,q767,in a pretty table,"
Configuration file.",1,1,1,2
def authenticated method @functools wraps method def wrapper self *args **kwargs if not self current user if self request method in 'GET' 'HEAD' url self get login url if '?' not in url if urlparse urlsplit url scheme next url self request full url else next url self request uriurl + '?' + urlencode dict next next url self redirect url returnraise HTTP Error 403 return method self *args **kwargs return wrapper,For what purpose do methods decorate with this ?,q1396,to require that the user be logged in,To require login.,3,2,3,3
def update access token user graph profile try get profile user model or profile get instance for attribute user profile 'access token' if model or profile new token graph access token model or profile access token token message 'anew' if new token else 'thesame' logger info 'found%stoken%s' token message graph access token[ 10 ] if new token logger info 'accesstokenchanged updatingnow' model or profile update access token graph access token model or profile save model or profile extend access token,Where does the access token update conditionally ?,q7824,in the database,Database,2,2,3,3
def append Args url args if hasattr args 'items' args args items args sort if len args 0 return urlif '?' in url rstrip '?' sep '&'else sep '?'return '%s%s%s' % url sep urlencode args,What does the code append to an http query ?,q10265,some arguments,Arguments.,2,2,3,3
def chain future a b def copy future assert future is a if b done returnif isinstance a Traceback Future and isinstance b Traceback Future and a exc info is not None b set exc info a exc info elif a exception is not None b set exception a exception else b set result a result a add done callback copy,For what purpose do two futures chain together when one completes ?,q1201,so that,When a future completes.,1,1,2,2
def configure sc logging use syslog False log set Level logging DEBUG formatter logging Formatter DEBUG FORMAT PID static create sc config dirs rfh logging handlers Rotating File Handler static DEBUG FILE max Bytes 1048576 backup Count 2 rfh set Level logging DEBUG rfh set Formatter formatter log add Handler rfh console set Level logging INFO log add Handler console syslog device '/dev/log'if use syslog and os path exists syslog device log debug ' Loggingto%s' % syslog device syslog handler logging handlers Sys Log Handler address syslog device syslog handler set Formatter formatter syslog handler set Level logging DEBUG log add Handler syslog handler,For what purpose does no formatters and a nullhandler have ?,q10517,so that other developers using starcluster as a library can configure logging as they see fit,Configures logging for the purpose of allowing other developers using starcluster as a library to customize logging settings.,3,3,3,3
def get Overhang Span element Node return get Cascade Float Without Self 2 0 * get Layer Height element Node element Node 'overhang Span',What does the code get ?,q3866,the overhang span,The code gets the overhang span element node.,3,3,3,2
def test slices partial overlap temp overlap slices 5 3 0 assert temp slice 0 2 None slice 1 3 None temp overlap slices 5 3 0 mode u'partial' assert temp slice 0 2 None slice 1 3 None for pos in [0 4] with pytest raises Partial Overlap Error as e temp overlap slices 5 3 pos mode u'strict' assert u' Arraysoverlaponlypartially ' in str e value,By how much do arrays overlap ?,q3177,partially,30%,1,1,2,3
"def subclass cls for name method in cls dict iteritems if hasattr method 'override' found Falsefor base class in inspect getmro cls [1 ] if name in base class dict if not method doc method doc base class dict [name] doc found Truebreakassert found '""%s %s""notfoundinanybaseclass' % cls name name return cls",What does the code verify ?,q1432,all @override methods use a class decorator to find the methods class,The code verifies that all `@override` methods in a class have a docstring in their base classes.,2,2,3,2
@image comparison baseline images [u' Event Collection plot switch orientation 2x'] def test Event Collection switch orientation 2x splt coll props generate Event Collection plot coll switch orientation coll switch orientation new positions coll get positions assert equal props[u'orientation'] coll get orientation assert equal True coll is horizontal np testing assert array equal props[u'positions'] new positions check segments coll new positions props[u'linelength'] props[u'lineoffset'] props[u'orientation'] splt set title u' Event Collection switch orientation 2 x',When does calling switch_orientation set the orientation back to the default ?,q10770,twice,Calling switch_orientation twice.,3,3,3,3
def create path *args return os path join *args,For what purpose did the paths provide ?,q7784,in order to create an absolut path,Absolute Path,3,2,3,3
def dmp ff trivial gcd f g u K zero f dmp zero p f u zero g dmp zero p g u if zero f and zero g return tuple dmp zeros 3 u K elif zero f return dmp ground monic g u K dmp zero u dmp ground dmp ground LC g u K u elif zero g return dmp ground monic f u K dmp ground dmp ground LC f u K u dmp zero u elif query 'USE SIMPLIFY GCD' return dmp simplify gcd f g u K else return None,Where do trivial cases in gcd algorithm handle ?,q5868,over a field,  Leading zeros.,1,1,2,2
def enabled name sig None return name 'redbull',Where is only the redbull service enabled ?,q6171,in the test,On boot CLI example.,1,1,1,2
"def write docstringdict filename 'turtle docstringdict' docsdict {}for methodname in tg screen functions key ' Screen ' + methodname docsdict[key] eval key doc for methodname in tg turtle functions key ' Turtle ' + methodname docsdict[key] eval key doc f open '%s py' % filename 'w' keys sorted [x for x in docsdict keys if x split ' ' [1 ] not in alias list ] f write 'docsdict {\n\n' for key in keys[ -1 ] f write '%s \n' % repr key f write '""""""%s\n"""""" \n\n' % docsdict[key] key keys[ -1 ]f write '%s \n' % repr key f write '""""""%s\n""""""\n\n' % docsdict[key] f write '}\n' f close",For what purpose do docstring - dictionary create ?,q3905,to file,To document turtle functions,1,1,2,2
def encrypt int message ekey n if type message is types Int Type return encrypt int long message ekey n if not type message is types Long Type raise Type Error ' Youmustpassalongoranint' if message > 0 and math floor math log message 2 > math floor math log n 2 raise Overflow Error ' Themessageistoolong' return fast exponentiation message ekey n,What do a message use ?,q4198,encryption key ekey,A message uses an encryption key ekey for encryption.,3,3,3,3
def spawn argv master read read stdin read read if type argv type '' argv argv pid master fd fork if pid CHILD os execlp argv[ 0 ] *argv try mode tty tcgetattr STDIN FILENO tty setraw STDIN FILENO restore 1except tty error restore 0try copy master fd master read stdin read except IO Error OS Error if restore tty tcsetattr STDIN FILENO tty TCSAFLUSH mode os close master fd,Does the code create a spawned process ?,q1232,Yes,"Yes, creates a spawned process.",3,3,3,3
def Run In Transaction function *args **kwargs return Run In Transaction Options None function *args **kwargs,What does the code run ?,q1231,a function inside a datastore transaction,It creates and retrieves config objects for transactions and event transactions.,1,1,2,2
def get New Repository return Alteration Repository,Does the code get new repository ?,q577,Yes,Yes,3,3,3,3
def inputhook wx 3 context try app wx Get App if app is not None assert wx Thread Is Main if not callable signal getsignal signal SIGINT signal signal signal SIGINT signal default int handler evtloop wx Event Loop ea wx Event Loop Activator evtloop t clock while not context input is ready while evtloop Pending t clock evtloop Dispatch app Process Idle used time clock - t if used time > 10 0 time sleep 1 0 elif used time > 0 1 time sleep 0 05 else time sleep 0 001 del eaexcept Keyboard Interrupt passreturn 0,How does the code run the wx event loop ?,q15313,by processing pending events only,The code runs the wx event loop and processes pending events only.,3,3,3,3
@image comparison baseline images [u'legend expand'] remove text True def test legend expand legend modes [ None u'expand'] fig axes list plt subplots len legend modes 1 x np arange 100 for ax mode in zip axes list legend modes ax plot x 50 - x u'o' label u'y 1' l1 ax legend loc 2 mode mode ax add artist l1 ax plot x x - 50 u'o' label u'y -1 ' l2 ax legend loc 5 mode mode ax add artist l2 ax legend loc 3 mode mode ncol 2,How do mode expand ?,q8362,test,Modes expand by adding artist attributes to the legend.,2,2,3,2
def zero cluster if TRAFFICCTL cmd traffic ctl 'metric' 'clear' '--cluster' else cmd traffic line '-Z' log debug ' Running %s' cmd return subprocess cmd,By how much does the code reset performance statistics across the cluster ?,q1136,to zero,The code resets performance statistics to zero across the cluster.,3,3,3,3
def compare optimizers optimizers random a -1 3 + np random random size 100 random b 0 3 + np random random size 100 param grid product FUNCTIONS random a random b values []for value in param grid values append value param grid valuesprint ' Benching 1 Droot-finderoptimizersfromscipy optimize 'for optimizer in OPTIMIZERS print '% 20 s %8 itotalfunctioncalls' % optimizer name bench optimizer optimizer param grid,Where did all the optimizers give ?,q8988,on a grid of a few different functions,Optimizers,1,1,2,2
"def open file flag 'r' mode 438 global defaultmodif defaultmod is None for name in names try mod import name fromlist ['open'] except Import Error continueif not defaultmod defaultmod mod modules[name] modif not defaultmod raise Import Error 'nodbmclonefound tried%s' % names result whichdb file if 'n' not in flag else None if result is None if 'c' in flag or 'n' in flag mod defaultmodelse raise error[ 0 ] ""need'c'or'n'flagtoopennewdb"" elif result '' raise error[ 0 ] 'dbtypecouldnotbedetermined' elif result not in modules raise error[ 0 ] 'dbtypeis{ 0 } butthemoduleisnotavailable' format result else mod modules[result]return mod open file flag mode",Where do database create ?,q8074,at path given by * file *,Database creation location,2,2,2,2
def build xpath expr attrs if 'class ' in attrs attrs['class'] attrs pop 'class ' s [ u '@%s %r' % k v for k v in iteritems attrs ]return u '[%s]' % 'and' join s,For what purpose do kwargs pass when using the lxml parser ?,q17720,to search for attributes,To search for attributes,3,3,3,3
def print One Training Vector x print '' join '1 ' if k 0 else ' ' for k in x,How do a single vector print ?,q5425,succinctly,Prints a single vector.,2,2,3,2
def reraise translated exception exc type exc value exc trace sys exc info new exc translate plain exception exc value raise new exc None exc trace,Does the code keep its traceback intact ?,q464,Yes,Yes,3,3,3,3
def cuthill mckee ordering G heuristic None for c in nx connected components G for n in connected cuthill mckee ordering G subgraph c heuristic yield n,For what purpose does the code generate an ordering of the graph nodes ?,q8145,to make a sparse matrix,Makes a sparse matrix,3,2,3,3
def create Tree num nodes root Node num nodes // 2 for i in range num nodes if i num nodes // 2 continueroot insert i root return root,In which direction did the tree construct to num_nodes ?,q3479,from 0,Tree constructed towards num_nodes.,2,2,3,2
def licensed cmd 'cscript C \\ Windows\\ System 32 \\slmgr vbs/dli'out salt ['cmd run'] cmd return ' License Status Licensed' in out,How did the current machine be licensed ?,q8620,correctly,"
Licensed with a product key from Microsoft.",2,2,3,3
def get Network Operator Name try m Context autoclass 'android content Context' python Activity autoclass 'org renpy android Python Service' telephony Manager cast 'android telephony Telephony Manager' python Activity m Service get System Service m Context TELEPHONY SERVICE network Operator Name telephony Manager get Network Operator Name return network Operator Nameexcept Exception as e return None,When did operator register ?,q1506,current,Operator register when instantiated,1,1,2,2
def scale for robust loss function J f rho J scale rho[ 1 ] + 2 * rho[ 2 ] * f ** 2 J scale[ J scale < EPS ] EPSJ scale ** 0 5f * rho[ 1 ] / J scale return left multiply J J scale copy False f,For what purpose do jacobian and residuals scale ?,q3078,for a robust loss function,Sandwich with ^ * scale * ^ scale.,1,1,1,2
def migrate instances add request spec context max count marker get marker for migrate instances context attrs ['system metadata' 'flavor' 'pci requests' 'numa topology' 'availability zone']instances objects Instance List get by filters context filters {'deleted' False} sort key 'created at' sort dir 'asc' limit max count marker marker expected attrs attrs count all len instances count hit 0for instance in instances try Request Spec get by instance uuid context instance uuid except exception Request Spec Not Found create minimal request spec context instance count hit + 1if count all > 0 marker instances[ -1 ] uuid set or delete marker for migrate instances context marker return count all count hit,When does a requestspec per instance not have it ?,q12829,yet,The code gets all instances that match all filters.,1,1,2,2
def volume glance metadata copy to volume context volume id snapshot id return IMPL volume glance metadata copy to volume context volume id snapshot id,Does the code update the glance metadata from a volume by copying all of the key : value pairs from the originating snapshot ?,q283,Yes,Yes,3,3,3,3
def get debug queries return g get 'sqlalchemy queries',Where will all the sql queries sent to the database log ?,q1516,in debug mode flask - sqlalchemy,Flask SQLAlchemy debug mode logs all queries sent to the database.,3,3,3,3
def test elemwise collapse 3 shape 4 5 a cuda ndarray Cuda Ndarray theano asarray numpy random rand *shape dtype 'float 32 ' a theano asarray numpy random rand *shape dtype 'float 32 ' a2 tcn shared constructor a 'a' a3 a2 dimshuffle 'x' 0 1 'x' b tcn Cuda Ndarray Type False False False False c a3 + b f pfunc [b] [c] mode mode with gpu v theano asarray numpy random rand 5 shape[ 0 ] shape[ 1 ] 4 dtype 'float 32 ' v cuda ndarray Cuda Ndarray v out f v [0 ]assert numpy allclose out a reshape 1 shape[ 0 ] shape[ 1 ] 1 + v,Where do only one inputs have two broadcastable dimension when ?,q11915,at each ends,"
At the end of the computation graph.",2,2,2,2
def with patch inspect f def wrapped *args **kwargs save findsource inspect findsourcesave getargs inspect getargsinspect findsource findsourceinspect getargs getargstry return f *args **kwargs finally inspect findsource save findsourceinspect getargs save getargsreturn wrapped,When did the code deprecate ?,q2774,since ipython 6,IPython 6.,2,2,3,3
def get Open ID Store return util get Open ID Store '/tmp/djopenid s store' 's ',When did database backend choose ?,q4201,currently,"Hence, currently.",2,2,3,2
def with kill srv f @wraps f def wrapper self *args pidfile args[ -1 ]try return f self *args finally kill srv pidfile return wrapper,Where do tests receive ?,q1247,in the last argument,Tests receive the last argument.,3,3,3,3
def check deprecated scrapy ctl argv inproject if not any 'scrapy-ctl' in x for x in argv returnimport warningswarnings warn '`scrapy-ctl py`command-linetoolisdeprecatedandwillberemovedin Scrapy 0 11 use`scrapy`instead' Scrapy Deprecation Warning stacklevel 3 if inproject projpath os path abspath os path dirname os path dirname settings settings module file cfg path os path join projpath 'scrapy cfg' if not os path exists cfg path with open cfg path 'w' as f f write '#generatedautomatically-feelfreetoedit' + os linesep f write '[settings]' + os linesep f write 'default %s' % settings settings module name + os linesep,Where do scrapy warn ?,q16069,in that case,Scrapy Deprecation Warning,2,2,3,3
def wait for func timeout 10 step 1 default None func args func kwargs None if func kwargs is None func kwargs dict max time time time + timeout step min step or 1 timeout * BLUR FACTOR ret defaultwhile time time < max time call ret func *func args **func kwargs if call ret ret call retbreakelse time sleep step step min step max time - time time * BLUR FACTOR if time time > max time logging warn ' Exceededwaitingtime %sseconds toexectute%s' timeout func return ret,When do func call ?,q9043,at regular intervals,Within,1,1,2,2
def label folder absent name node None apiserver None ret salt ['k 8 s folder absent'] name node apiserver return ret,Does the label folder exist on the kube node ?,q14139,No,"
Not exists.",2,2,3,2
def test epoch combine ids raw events picks get data epochs Epochs raw events {'a' 1 'b' 2 'c' 3 'd' 4 'e' 5 'f' 32 } tmin tmax picks picks preload False events new merge events events [1 2] 12 epochs new combine event ids epochs ['a' 'b'] {'ab' 12 } assert equal epochs new['ab'] name 'ab' assert array equal events new epochs new events,What is combining event ids in epochs ?,q5956,test,Combining.,1,1,2,2
@task def enable self generated certs course key course key Course Key from string course key course Course Overview get from id course key is enabled for course Certificate Generation Course Setting is enabled for course course key if course self paced and not is enabled for course Certificate Generation Course Setting set enabled for course course key True,How did courses pace ?,q17521,self,Self-paced,3,3,3,3
def api level cmd name if cmd in api table return api table[cmd][ 1 ]if name 'queue' and cmd in api queue table return api queue table[cmd][ 1 ]if name 'config' and cmd in api config table return api config table[cmd][ 1 ]return 4,For what purpose did return access level require ?,q9116,for this api call,The purpose of return access level is to determine which table to use when calling the API.,2,2,3,3
def load name merge inherited True cache lock acquire try data cache get name if not data if name 'root' or not merge inherited data {}else parts name split ' ' if len parts 1 parent 'root'else parent ' ' join parts[ -1 ] data load parent copy filename os path join dirname '%s dat' % name fileobj open filename 'rb' try if name 'root' and merge inherited merge data pickle load fileobj else data pickle load fileobj cache[name] datafinally fileobj close return datafinally cache lock release,For what purpose do the locale data load ?,q6475,for the given locale,To load locale data.,3,2,3,3
def validate customization args and values item name item type customization args ca specs to validate against ca spec names [ca spec name for ca spec in ca specs to validate against]if not isinstance customization args dict raise utils Validation Error ' Expectedcustomizationargstobeadict received%s' % customization args customization args get full customization args customization args ca specs to validate against extra args []for arg name in customization args keys if not isinstance arg name basestring raise utils Validation Error ' Invalidcustomizationargname %s' % arg name if arg name not in ca spec names extra args append arg name logging warning '%s%sdoesnotsupportcustomizationarg%s ' % item name capitalize item type arg name for extra arg in extra args del customization args[extra arg]for ca spec in ca specs to validate against try customization args[ca spec name]['value'] schema utils normalize against schema customization args[ca spec name]['value'] ca spec schema except Exception pass,Where did the specs set ?,q18157,in ca_specs_to_validate_against,The specs are set in `ca_specs_to_validate_against`.,3,3,3,3
@ ensure existsdef copy to name source dest exec driver None overwrite False makedirs False return salt ['container resource copy to'] name salt ['container resource cache file'] source dest container type virtualname exec driver exec driver overwrite overwrite makedirs makedirs,For what purpose do a file from the host copy into a container name container name source file ?,q8420,to be copied to the container,Copy file into a container to run tests inside a container.,2,2,2,3
def test parse annotation annot '+ 180 \x 14 Lightsoff\x 14 Closedoor\x 14 \x 00 \x 00 \x 00 \x 00 \x 00 + 180 \x 14 Lightsoff\x 14 \x 00 \x 00 \x 00 \x 00 \x 00 \x 00 \x 00 \x 00 + 180 \x 14 Closedoor\x 14 \x 00 \x 00 \x 00 \x 00 \x 00 \x 00 \x 00 \x 00 + 3 14 \x 1504 20 \x 14 nothing\x 14 \x 00 \x 00 \x 00 \x 00 + 1800 2\x 1525 5\x 14 Apnea\x 14 \x 00 \x 00 \x 00 \x 00 \x 00 \x 00 \x 00 + 123 \x 14 \x 14 \x 00 \x 00 \x 00 \x 00 \x 00 \x 00 \x 00 'annot [a for a in iterbytes annot ]annot[ 1 2] [ a * 256 for a in annot[ 1 2]]tal channel map sum zip annot[ 0 2] annot[ 1 2] assert equal parse tal channel [tal channel] [[ 180 0 0 ' Lightsoff'] [180 0 0 ' Closedoor'] [180 0 0 ' Lightsoff'] [180 0 0 ' Closedoor'] [3 14 4 2 'nothing'] [1800 2 25 5 ' Apnea']],How do the tal channel parse ?,q17462,test,It parses tal channel by creating a dictionary of all needed thread fields and checking if the version is supported.,1,1,2,2
def auth email logout token user redirect url cas get logout url service url cas get login url service url web url for 'index' absolute True try unconfirmed email user get unconfirmed email for token token except Invalid Token Error raise HTTP Error http BAD REQUEST data {'message short' ' Badtoken' 'message long' ' Theprovidedtokenisinvalid '} except Expired Token Error status push status message ' Theprivatelinkyouusedisexpired ' raise HTTP Error http BAD REQUEST data {'message short' ' Expiredlink' 'message long' ' Theprivatelinkyouusedisexpired '} try user merge User find one Q 'emails' 'eq' unconfirmed email except No Results Found user merge Falseif user merge remove sessions for user user merge user email verifications[token]['confirmed'] Trueuser save remove sessions for user user resp redirect redirect url resp delete cookie settings COOKIE NAME domain settings OSF COOKIE DOMAIN return resp,What is adding an email ?,q15389,a user,A user adds an email,3,2,3,3
def virtual interface get by address context address return IMPL virtual interface get by address context address,Where does the code get a virtual interface from the table filtering ?,q5159,on address,"
The code gets a virtual interface from the table by address context.",2,2,3,2
def domain constructor **b kwargs def deco f def wrapper *args **kwargs if 'name' in b kwargs b kwargs b kwargselse b kwargs dict b kwargs name f name f rval f *args **kwargs domain Domain lambda x x f rval ** b kwargs return domainwrapper name f name return wrapperreturn deco,For what purpose does a function return a pyll expressions ?,q2757,so that it becomes a domain instance instead of a function example,To create a domain instance instead of a function.,3,3,3,3
def set project cfg facts if unset facts config {'default node selector' '' 'project request message' '' 'project request template' '' 'mcs allocator range' 's 0 /2 ' 'mcs labels per project' 5 'uid allocator range' '1000000000 - 1999999999 / 10000 '}if 'master' in facts for key value in config items if key not in facts['master'] facts['master'][key] valuereturn facts,When were they not were present ?,q13914,already,Already.,3,3,3,3
def git version git path DEFAULT GIT try output run git or fail ['--version'] git path git path except OS Error return Noneversion prefix 'gitversion'if not output startswith version prefix return Noneparts output[len version prefix ] split ' ' nums []for part in parts try nums append int part except Value Error breakwhile len nums < VERSION LEN nums append 0 return tuple nums[ VERSION LEN],When did git instal ?,q2240,currently,Currently.,2,2,3,3
