id,code,question,answer,prediction,accuracy,completeness,relevance,clarity
q205,def remove persistent module mod if not mod or mod not in mod list True return set salt ['file sed'] LOADER CONF MODULE RE format mod '' return set [mod],Does the code remove module from loader ?,Yes,"Yes, it removes modules from the loader.",3.0,3.0,3.0,3.0
q206,def get schema documents models default namespace None if default namespace is None default namespace models[ 0 ] get namespace fake app Fake Application fake app tns default namespacefake app services []interface Interface fake app for m in models m resolve namespace m default namespace interface add class m interface populate interface fake app document Xml Schema interface document build interface document return document get interface document,How does the schema documents return ?,in a dict whose keys are namespace prefixes and values,Interface,1.0,1.0,2.0,3.0
q207,def was modified since header None mtime 0 size 0 try if header is None raise Value Errormatches re match '^ [^ ]+ length [0 - 9 ]+ ?$' header re IGNORECASE header mtime rfc 822 mktime tz rfc 822 parsedate tz matches group 1 header len matches group 3 if header len and int header len size raise Value Errorif mtime > header mtime raise Value Errorexcept Attribute Error Value Error return Truereturn False,When did the user download it ?,last,The user downloaded it recently.,1.0,1.0,2.0,2.0
q208,def to dict l return dict zip map str range len l l,What does the code convert to a dict with keys drawn from 0 ?,a list,Converts list to dictionary with keys drawn from 0.,3.0,3.0,3.0,2.0
q209,@needs hostdef sudo command shell True pty True combine stderr None user None quiet False warn only False stdout None stderr None group None timeout None shell escape None capture buffer size None return run command command shell pty combine stderr sudo True user user if user else env sudo user group group quiet quiet warn only warn only stdout stdout stderr stderr timeout timeout shell escape shell escape capture buffer size capture buffer size,Where does the code run a shell command ?,on a remote host,Remote host,3.0,3.0,3.0,3.0
q210,def reparam string dictionary dictionary dictionary copy dictionary[' builtins '] object vals []result []for live chunk in interpolate string if live v eval chunk dictionary result append sqlquote v else result append chunk return SQL Query join result '',How does the code interpolate the string ?,using values from the dictionary,Yes,1.0,1.0,2.0,2.0
q211,def url fix s charset 'utf- 8 ' if isinstance s unicode s s encode charset 'replace' scheme netloc path qs anchor safe urlsplit s path quote path '/%' qs quote plus qs ' &% ' return urlparse urlunsplit scheme netloc path qs anchor,When do you get an url by a user that just is nt a real url because it contains unsafe characters like and so on ?,sometimes,Unsafe characters,1.0,1.0,2.0,2.0
q212,def test close connections print ' Runningtest close connections' s3 boto connect s3 for b in s3 get all buckets if b name startswith 'test-' for key in b get all keys key delete b delete bucket s3 create bucket 'test-%d' % int time time names [str uuid uuid 4 for in range 30 ]threads [spawn put object bucket name for name in names]for t in threads t join threads [spawn get object bucket name for name in names]for t in threads t join,When are connections returned to the connection pool where ?,before the caller reads the response,The connections are returned to the connection pool before the caller reads the response.,3.0,3.0,3.0,3.0
q213,def key exists hive key use 32 bit registry False if PY 2 local hive mbcs to unicode hive local key unicode to mbcs key else local hive hivelocal key keyregistry Registry hkey registry hkeys[local hive]access mask registry registry 32 [use 32 bit registry]try handle winreg Open Key hkey local key 0 access mask winreg Close Key handle return Trueexcept Windows Error return False,Where is the key found ?,in the registry,"
Command Line",,,,
q214,def mc 2 cum mc return mnc 2 cum mc 2 mnc mc,Till when did i have the test case ?,still,Central moments.,1.0,1.0,1.0,2.0
q215,"def rename name new name current info info name if not current info raise Command Execution Error "" User'{ 0 }'doesnotexist"" format name new info info new name if new info raise Command Execution Error "" User'{ 0 }'alreadyexists"" format new name cmd ['usermod' '-l' new name name] salt ['cmd run'] cmd python shell False return info new name get 'name' new name",For what purpose do the username change ?,for a named user,To change the username.,3.0,2.0,3.0,3.0
q216,"def parse relative url relative url if not relative url raise Relative Url Error ' Relative UR Lisempty' scheme netloc path query fragment urlparse urlsplit relative url if scheme or netloc raise Relative Url Error ' Relative UR Lmaynothaveaschemeorlocation' if fragment raise Relative Url Error ' Relative UR Lmaynotspecifyafragment' if not path or path[ 0 ] '/' raise Relative Url Error ' Relative UR Lpathmuststartwith""/""' return path query",Does it split into its path and query string ?,Yes,Yes.,3.0,3.0,3.0,3.0
q217,def explain c declaration c decl parser c parser C Parser try node parser parse c decl filename '<stdin>' except c parser Parse Error e sys exc info [1 ]return ' Parseerror ' + str e if not isinstance node c ast File AST or not isinstance node ext[ -1 ] c ast Decl return ' Notavaliddeclaration'return explain decl node node ext[ -1 ],Where does the code parse the declaration ?,in c_decl,"C-language declaration file ""stdin"".",1.0,1.0,2.0,2.0
q218,def test random state none ratio 'auto'ee Easy Ensemble ratio ratio random state None X resampled y resampled ee fit sample X Y,In which direction is the processing going with random state being none ?,throw,Random state None,1.0,1.0,2.0,2.0
q219,def organize states for post update base mapper states uowtransaction return connections for states base mapper uowtransaction states,For what purpose does the code make an initial pass across a set of states ?,for update corresponding to post_update,Validate Beacon Configuration,,,,
q220,def create request parameters parent request model params None index None if params is None params {}for param in request model params source param sourcetarget param targetif source 'identifier' value getattr parent xform name param name elif source 'data' value get data member parent param path elif source in ['string' 'integer' 'boolean'] value param valueelif source 'input' continueelse raise Not Implemented Error ' Unsupportedsourcetype {0 }' format source build param structure params target value index return params,In which direction can request parameters be filled from identifiers ?,in,Params can be filled from identifiers by using the getattr function on the parent model.,2.0,2.0,2.0,2.0
q221,def phooky exclusion list ['lafin' 'daniel dressler' 'phooky']g globals flist [ k v for k v in g items if isinstance v type phooky and k not in exclusion list and v func code co argcount 0 ] names bodies map list zip *flist random shuffle bodies for name body in zip names bodies g[name] bodyprint 'phookyisnow{ 0 } ' format phooky func code co name,How does everybodys go home ?,with a different name than it showed up with,Variables,1.0,1.0,2.0,2.0
q222,@require context@pick context manager writerdef virtual interface create context values try vif ref models Virtual Interface vif ref update values vif ref save context session except db exc DB Error LOG exception LE 'VI Fcreationfailedwithadatabaseerror ' raise exception Virtual Interface Create Exception return vif ref,Where does the code create a new virtual interface record ?,in the database,Database,2.0,1.0,2.0,3.0
q223,"@with setup prepare stdout def test output level 1 fail runner Runner feature name 'failed table' verbosity 1 runner run assert stdout lines with traceback 'F\n\n< Step "" Andthisonefails"">\n Traceback mostrecentcalllast \n File""% lettuce core file s"" line% call line d in call \nret self function self step *args **kw \n File""% step file s"" line 25 intof\nassert False\n Assertion Error\n\n 1 feature 0passed \n 1 scenario 0passed \n 5 steps 1failed 2skipped 1undefined 1passed \n\n Listoffailedscenarios \n Scenario Seeitfail#tests/functional/output features/failed table/failed table feature 2\n\n' % {'lettuce core file' lettuce path 'core py' 'step file' abspath lettuce path ' ' 'tests' 'functional' 'output features' 'failed table' 'failed table steps py' 'call line' call line}",What must output with verbosity 2 show ?,only the scenario names,Scenario names,2.0,2.0,3.0,3.0
q224,def auth pipeline urls auth entry redirect url None if not third party auth is enabled return {}return {provider provider id third party auth pipeline get login url provider provider id auth entry redirect url redirect url for provider in third party auth provider Registry displayed for login },Why does the code retrieve urls for ?,each enabled third - party auth provider,Third-party auth URLs.,2.0,2.0,3.0,2.0
q225,@release command def prep cur version get version subprocess check output ['git' 'tag' 'v{}' format cur version ] with chdir BASE subprocess check call ['python 2 ' 'setup py' 'sdist'] cl changelog as markdown with open os path join BASE 'changelog md' 'w' as f f write cl version parts [int n for n in cur version split ' ' ]version parts[ -1 ] + 1next version u' ' join map str version parts bump version next version,For what purpose does the code run all steps ?,to prepare a release,Prepares release,3.0,2.0,3.0,3.0
q226,def session view request request session['tobacconist'] 'hovercraft't Template ' Thisisaviewthatmodifiesthesession ' name ' Session Modifying View Template' c Context return Http Response t render c,What does a view modify ?,the session,Session.,2.0,2.0,3.0,2.0
q227,def identify names code finder Name Finder finder visit ast parse code example code obj {}for name full name in finder get mapping splitted full name rsplit ' ' 1 if len splitted 1 continue module attribute splittedmodule short get short module name module attribute cobj {'name' attribute 'module' module 'module short' module short}example code obj[name] cobjreturn example code obj,How does a codeobj summary build ?,by identifying and resolving used names,It builds by identifying used names and retrieving modules from the system path.,2.0,2.0,3.0,2.0
q228,@cleanupdef test Event Collection is horizontal coll generate Event Collection plot assert equal True coll is horizontal,What does the input orientation match ?,the default orientation,"
Horizontally.",,,,
q229,def get New Derivation element Node prefix side Length return Bevel Derivation element Node prefix side Length,Does the code get new derivation ?,Yes,Yes.,3.0,3.0,3.0,3.0
q230,def working path filename return os path join WORKING DIR filename,For what purpose do an absolute path return ?,for,A file named filename in the sample directory,1.0,1.0,2.0,2.0
q231,"def do Not Fail On Network Error func @functools wraps func def wrapper *a **kw try func *a **kw except Fail Test as e if e args[ 0 ] startswith ""' Failedtogetobjectinventoryfrom"" raise Skip Test ' Thistestispronetointermittentnetworkerrors Seeticket 8753 Exceptionwas { r}' format e raisereturn wrapper",Why do apibuilder tests not fail ?,because of intermittent network failures,Intermittent network failures,2.0,2.0,3.0,2.0
q232,def get Connection Vertexes geometry Output connection Vertexes []add Connection Vertexes connection Vertexes geometry Output return connection Vertexes,What does the code get ?,the connections and vertexes,connections and vertexes,3.0,3.0,3.0,3.0
q233,def as enum enum if isinstance enum string types try enum getattr gl 'GL ' + enum upper except Attribute Error try enum internalformats[ 'GL ' + enum upper ]except Key Error raise Value Error ' Couldnotfindintvalueforenum%r' % enum return enum,When do enum str ?,possibly,"
Enum string",1.0,1.0,2.0,2.0
q234,def call hook message attachment None color 'good' short False identifier None channel None username None icon emoji None base url 'https //hooks slack com/services/'if not identifier identifier get hook id url urljoin base url identifier if not message log error 'messageisrequiredoption' if attachment payload {'attachments' [{'fallback' message 'color' color 'pretext' message 'fields' [{'value' attachment 'short' short}]}]}else payload {'text' message}if channel payload['channel'] channelif username payload['username'] usernameif icon emoji payload['icon emoji'] icon emojidata urlencode {'payload' json dumps payload ensure ascii False } result salt utils http query url method 'POST' data data status True if result['status'] < 201 return Trueelse return {'res' False 'message' result get 'body' result['status'] },What do message send ?,to slack incomming webhook,Sends a message to Slack using Incoming Webhooks.,3.0,3.0,3.0,3.0
q235,def open resource name if resource stream is not None return resource stream name 'zoneinfo/' + name else name parts name lstrip '/' split '/' for part in name parts if part os path pardir or os path sep in part raise Value Error ' Badpathsegment %r' % part filename os path join os path dirname file 'zoneinfo' *name parts return open filename 'rb',What does the code open for reading ?,a resource,"The file name ""zoneinfo/"" + name is opened for reading and returned as a binary stream.",3.0,3.0,3.0,3.0
q236,def get closest dir workdir closest dir ''for wdi in path split all workdir if os path isdir os path join closest dir wdi closest dir os path join closest dir wdi else breakassert closest dir workdir return closest dir wdi,Should the topmost already - existing directory in the given path erasing work - dirs progress above this file ?,No,"Yes, topmost existing directory should be preserved.",,,,
q237,"def filter Bad Releases name parse True try if parse Name Parser parse name except Invalid Name Exception sickrage sr Core sr Logger debug u' Unabletoparsethefilename' + name + u'intoavalidepisode' return Falseexcept Invalid Show Exception passignore words list result Filters if sickrage sr Core sr Config IGNORE WORDS ignore words extend sickrage sr Core sr Config IGNORE WORDS split u' ' word contains At Least One Word name ignore words if word sickrage sr Core sr Logger debug u' Invalidscenerelease ' + name + u'contains' + word + u' ignoringit' return Falseif sickrage sr Core sr Config REQUIRE WORDS require words sickrage sr Core sr Config REQUIRE WORD Sif not contains At Least One Word name require words sickrage sr Core sr Logger debug u' Invalidscenerelease ' + name + u""doesn'tcontainanyof"" + sickrage sr Core sr Config REQUIRE WORDS + u' ignoringit' return Falsereturn True",How does non - english and just all - around stupid releases filter ?,by comparing them to the resultfilters contents,Filters non-English and stupid releases.,2.0,2.0,2.0,2.0
q238,def test env vars available during preload gunicorn arbiter Arbiter Preloaded App With Env Settings,In which direction did the application call ?,from the,App calls during preload.,2.0,2.0,2.0,2.0
q239,def additive chi 2 kernel X Y None if issparse X or issparse Y raise Value Error 'additive chi 2 doesnotsupportsparsematrices ' X Y check pairwise arrays X Y if X < 0 any raise Value Error ' Xcontainsnegativevalues ' if Y is not X and Y < 0 any raise Value Error ' Ycontainsnegativevalues ' result np zeros X shape[ 0 ] Y shape[ 0 ] dtype X dtype chi 2 kernel fast X Y result return result,Where is the chi - squared kernel computed ?,between each pair of rows in x and y,Between rows of x and y.,3.0,3.0,3.0,2.0
q240,def diskusage path total size 0seen set if os path isfile path stat structure os stat path ret stat structure st sizereturn retfor dirpath dirnames filenames in os walk path for f in filenames fp os path join dirpath f try stat structure os stat fp except OS Error continueif stat structure st ino in seen continueseen add stat structure st ino total size + stat structure st sizeret total sizereturn ret,How do it return cli example ?,recursively,Recursively calculates disk usage of path for scripting.,2.0,2.0,3.0,3.0
q241,def to 36 q if q < 0 raise Value Error 'mustsupplyapositiveinteger'letters '0123456789 abcdefghijklmnopqrstuvwxyz'converted []while q 0 q r divmod q 36 converted insert 0 letters[r] return '' join converted or '0 ',What does an integer convert ?,to base 36,"Hence, an integer converts to base 36.",3.0,3.0,3.0,3.0
q242,def check valid abd naming pattern None if pattern is None pattern sickbeard NAMING PATTER Nlogger log u' Checkingwhetherthepattern' + pattern + 'isvalidforanair-by-dateepisode' logger DEBUG valid validate name pattern abd True return valid,In which direction can the name be parsed to its original form for an air - by - date format ?,back,Backward,3.0,3.0,3.0,3.0
q243,def at server cold stop pass,Why did the server go down when ?,due to a shutdown or reset,"Hence, due to shutdown or reset.",3.0,3.0,3.0,3.0
q244,def disable name **kwargs cmd '/usr/sbin/svcadmdisable{ 0 }' format name return not salt ['cmd retcode'] cmd python shell False,For what purpose do the named service disable ?,to start at boot cli example,To disable a service at boot time.,3.0,3.0,3.0,3.0
q245,def average On Time Per Timestep vectors num Samples None if vectors ndim 1 vectors shape -1 1 num Time Steps len vectors num Elements len vectors[ 0 ] if num Samples is not None import pdbpdb set trace count On numpy random randint 0 num Elements num Samples vectors vectors[ count On]durations numpy zeros vectors shape dtype 'int 32 ' for col in xrange vectors shape[ 1 ] fill In On Times vectors[ col] durations[ col] sums vectors sum axis 1 sums clip min 1 max numpy inf out sums avg Durations durations sum axis 1 dtype 'float 64 ' / sums avg On Time avg Durations sum / avg Durations > 0 sum freq Counts accumulate Frequency Counts avg Durations return avg On Time freq Counts,When do the outputs be on ?,at each time step,The outputs are on at each time step and the code computes the average on-time of the outputs that are on at each time step.,3.0,2.0,3.0,3.0
q246,def get Transferred Surrounding Loops insides loop transferred Surroundings []for inside Index in xrange len insides - 1 -1 -1 inside Surrounding insides[inside Index]if is Path Inside Loop loop inside Surrounding boundary transferred Surroundings append inside Surrounding del insides[inside Index]return transferred Surroundings,In which direction did the code get transferred paths ?,from inside surrounding loops,Inside Surrounding Loops,2.0,2.0,2.0,2.0
q247,def test fnpickling protocol tmpdir import pickleobj 1 'astring'obj 2 To Be Pickled obj 1 for p in range pickle HIGHEST PROTOCOL + 1 fn str tmpdir join 'testp{} pickle' format p fnpickle obj 2 fn protocol p res fnunpickle fn assert res obj 2,In which direction do pickle files pickle ?,from all protcols,"
To unpickle.",1.0,1.0,2.0,2.0
q248,def test double close with pipeline get cat pipeline pipeline PIPE pipeline PIPE as pl assert isinstance pl stdin pipebuf Non Block Buffered Writer assert not pl stdin closed pl stdin close assert pl stdin closedpl stdin close assert isinstance pl stdout pipebuf Non Block Buffered Reader assert not pl stdout closed pl stdout close assert pl stdout closedpl stdout close pipeline wait pl,When be a file closed without raising ?,twice,"
File closed without raising twice.",2.0,2.0,3.0,2.0
q249,@register stabilize@register specialize@local optimizer None def local det chol node if node op det x node inputsfor cl xpos in x clients if isinstance cl op Cholesky L cl outputs[ 0 ]return [tensor prod extract diag L ** 2 ],In which direction do an l = cholesky(x ) float ?,around,Already determinant,1.0,1.0,2.0,2.0
q250,def host pointer obj if isinstance obj int long return objforcewritable isinstance obj np void return mviewbuf memoryview get buffer obj forcewritable,Till when should it be not changed ?,until the operation which can be asynchronous completes,The type of an object should be checked before the operation can be asynchronous.,2.0,2.0,2.0,2.0
q251,def overload attribute typ attr from typing templates import make overload attribute templatedef decorate overload func template make overload attribute template typ attr overload func infer getattr template return overload funcreturn decorate,How do attribute implement for the given numba type ?,in nopython mode,Template macro,1.0,1.0,2.0,2.0
q252,def log request handler status handler get status request handler requestif status 304 or status < 300 and isinstance handler Static File Handler log method access log debugelif status < 400 log method access log infoelif status < 500 log method access log warningelse log method access log erroruri scrub uri request uri headers scrub headers request headers request time 1000 0 * handler request request time user handler get current user ns dict status status method request method ip request remote ip uri uri request time request time user user name if user else '' msg '{status}{method}{uri} {user}@{ip} {request time 2f}ms'if status > 500 and status 502 log method json dumps headers indent 2 log method msg format **ns,For what purpose do proxied ip instead of proxy ip - log referer get ?,for redirect,Proxied IP instead of proxy IP.,1.0,1.0,2.0,2.0
q253,def get Read Repository repository text archive get File Text archive get Profiles Path get Profile Base Name repository False if text '' if repository base Name Synonym None text archive get File Text archive get Profiles Path get Profile Name repository base Name Synonym repository False if text '' print ' Thedefault%swillbewritteninthe skeinforgefolderinthehomedirectory ' % repository title lower text archive get File Text get Profiles Directory In Above Directory get Profile Base Name repository False if text '' read Settings From Text repository text write Settings repository temporary Apply Overrides repository return repositoryread Settings From Text repository text temporary Apply Overrides repository return repository,In which direction do settings read ?,from a file,In.,1.0,1.0,2.0,2.0
q254,@periodic task run every timedelta hours 24 def invalidate group membership from mozillians groups models import Group Group Membershipgroups Group objects filter invalidation days isnull False for group in groups curator ids group curators all values list 'id' flat True memberships group groupmembership set filter status Group Membership MEMBER exclude userprofile id in curator ids last update datetime now - timedelta days group invalidation days memberships memberships filter updated on lte last update for member in memberships group remove member member userprofile,When do we invalidate user membership ?,after timedelta,24 hours,2.0,2.0,2.0,3.0
q255,def draw nx G pos **kwds draw G pos **kwds,For what purpose do draw or draw_networkx use ?,for backward compatibility,Draws a cluster dendrogram using a spring layout.,1.0,1.0,1.0,2.0
q256,def cache provider details conn None DETAILS['avail locations'] {}DETAILS['avail sizes'] {}DETAILS['avail images'] {}locations avail locations conn images avail images conn sizes avail sizes conn for key location in six iteritems locations DETAILS['avail locations'][location['name']] location DETAILS['avail locations'][key] locationfor key image in six iteritems images DETAILS['avail images'][image['name']] image DETAILS['avail images'][key] imagefor key vm size in six iteritems sizes DETAILS['avail sizes'][vm size['name']] vm size DETAILS['avail sizes'][key] vm size,For what purpose do onto results of --list-[locations|sizes|images hang a place ?,so we do nt have to go out to the api and get them every time,To cache results of `--list-[locations|sizes|images]` for faster API calls,2.0,2.0,3.0,3.0
q257,def main if len sys argv < 2 print ' Usage %sseconds to sleep' % sys argv[ 0 ] sys exit 1 timeout float sys argv[ 1 ] print 'READY' time sleep timeout print 'END',When does this script sleep ?,for the number of seconds specified by the command line argument,It sleeps for the number of seconds specified by the command line argument.,3.0,3.0,3.0,3.0
q258,def check topic permissions topic name pubsub client pubsub Client topic pubsub client topic topic name permissions to check ['pubsub topics publish' 'pubsub topics update']allowed permissions topic check iam permissions permissions to check print ' Allowedpermissionsfortopic{} {}' format topic name allowed permissions,Where are permissions are available ?,on the given topic,Permissions are available on the topic.,3.0,3.0,3.0,3.0
q259,def link path dest replace False if samefile path dest returnpath syspath path dest syspath dest if os path exists dest and not replace raise Filesystem Error u'fileexists' 'rename' path dest try os symlink path dest except Not Implemented Error raise Filesystem Error u'O Sdoesnotsupportsymboliclinks link' path dest traceback format exc except OS Error as exc if hasattr 'sys' 'getwindowsversion' if sys getwindowsversion [0 ] < 6 exc u'O Sdoesnotsupportsymboliclinks 'raise Filesystem Error exc 'link' path dest traceback format exc,Does the code create a symbolic link from path to dest ?,Yes,Yes,3.0,3.0,3.0,3.0
q260,def highlight faces image faces output filename im Image open image draw Image Draw Draw im for face in faces box [ v get 'x' 0 0 v get 'y' 0 0 for v in face['fd Bounding Poly']['vertices']]draw line box + [box[ 0 ]] width 5 fill '# 00 ff 00 ' im save output filename,Where does the code draw a polygon ?,around the faces,Faces,,,,
q261,def dump tracemalloc gc collect snapshot tracemalloc take snapshot output file PROFILING OUTPUT FMT % get filename fmt with open output file 'wb' as fp c Pickle dump snapshot fp 2 snapshot None,For what purpose does memory usage information dump ?,to file,The code dumps memory usage information to a file.,3.0,3.0,3.0,3.0
q262,def to dict dictish if hasattr dictish 'iterkeys' m dictish iterkeyselif hasattr dictish 'keys' m dictish keyselse raise Value Error dictish return dict k dictish[k] for k in m,How resembles something resembles a dictionary ?,closely,Keys in dictionary.,1.0,1.0,2.0,2.0
q263,def get datetime now try from django utils import timezonereturn timezone now except Import Error return datetime datetime now,When does datetime object return with current point ?,in time,With current point,2.0,2.0,3.0,2.0
q264,def check no alert try assert is none world browser get alert except No Alert Present Exception pass,In which direction has the alert gone ?,away,Alert gone away,3.0,3.0,3.0,3.0
q265,def add s i if i > 1 return 's'else return '',"When do an "" return ?",when i > 1,It returns the result of adding two Theano scalars.,1.0,1.0,1.0,2.0
q266,def test color switch keyhint config stub key config stub config stub set 'colors' 'keyhint fg suffix' '#ABCDEF' key config stub set bindings for 'normal' Ordered Dict [ 'aa' 'cmd-aa' ] keyhint update keyhint 'normal' 'a' assert keyhint text expected text 'a' '#ABCDEF' 'a' 'cmd-aa',What does the code ensure ?,the keyhint suffix color can be updated at runtime,The code ensures that the keyhint suffix color can be updated at runtime and that the widget is not visible if there are no keystrings to show.,2.0,2.0,3.0,3.0
q267,def fix html container raw root container parse xhtml raw return serialize root u'text/html',How did the html represent as a string ?,in raw,String of HTML,2.0,2.0,3.0,3.0
q268,def get Open ID Store return util get Open ID Store '/tmp/djopenid c store' 'c ',When did database backend choose ?,currently,Currently.,3.0,3.0,3.0,3.0
q269,def epoch t if not hasattr t 'tzinfo' returnreturn int time mktime append tz t timetuple,When did date / time convert to seconds ?,since epoch,Since Epoch.,3.0,3.0,3.0,3.0
q270,def does not modify errors dict validator def call and assert key data errors context None if context is None context {}original data copy deepcopy data original errors copy deepcopy errors original context copy deepcopy context result validator key data errors context context assert errors original errors ' Shouldnotmodifyerrorsdictwhencalledwithkey {key} data {data} errors {errors} context {context}' format key key data original data errors original errors context original context return resultreturn call and assert,Does the decorated validator modify its errors ?,No,"No, it doesn't",3.0,3.0,3.0,3.0
q271,def remove Ntpd vm prompt Prompt ntp Package 'ntp' log '* Removingntpd' vm sendline 'sudo-napt-get-qyremove' + ntp Package vm expect prompt vm sendline 'sudo-npkillntpd' vm expect prompt log '* Gettingsecondssinceepochfromthisserver' seconds int run 'date+%s' log '* Setting V Mclock' vm sendline 'sudo-ndate-s@%d' % seconds,When does the code remove ntpd ?,immediately,Immediately,3.0,3.0,3.0,3.0
q272,@error context awaredef lv reactivate vg name lv name timeout 10 try utils run 'lvchange-an/dev/%s/%s' % vg name lv name time sleep timeout utils run 'lvchange-ay/dev/%s/%s' % vg name lv name time sleep timeout except error Cmd Error logging error ' Failedtoreactivate%s-please ' + 'nuketheprocessthatusesitfirst ' lv name raise error Test Error ' Thelogicalvolume%sisstillactive' % lv name,Till when did some of the lvs merge ?,still,Merged lvs till shutdown.,1.0,1.0,2.0,2.0
q273,def extract Error Message page ret Val Noneif isinstance page basestring for regex in ERROR PARSING REGEXES match re search regex page re DOTALL re IGNORECASE if match ret Val htmlunescape match group 'result' replace '<br>' '\n' strip breakreturn ret Val,Where did error message report if it founds one ?,from page,Error reported.,1.0,1.0,2.0,2.0
q274,def run until rpc el eventloop get event loop while el current el run 0,Till when do tasklets evaluate eagerly ?,until it is blocking on some rpc,Tasklets evaluate eagerly until blocking on RPC.,3.0,3.0,3.0,3.0
q275,def insert missed blocks store missed []for row in store selectall '\n SELEC Tb block id\n FRO Mblockb\n LEFTJOI Nchain candidatecc ON b block id cc block id \n WHER Echain id ISNULL\n ORDERB Yb block height\n' missed append row[ 0 ] if not missed returnstore log info ' Attemptingtorepair%dmissedblocks ' len missed inserted 0for block id in missed store sql '\n INSERTINT Ochain candidate \nchain id block id block height in longest \n SELEC Tcc chain id b block id b block height 0\n FRO Mchain candidatecc\n JOI Nblockprev ON cc block id prev block id \n JOI Nblockb ON b prev block id prev block id \n WHER Eb block id ?' block id inserted + store rowcount store commit store log info ' Inserted%drowsintochain candidate ' inserted,Why does the code rescanning nt work always ?,due to timeouts and resource constraints,Due to timeouts and resource constraints.,3.0,3.0,3.0,3.0
q276,def map unreachable exception e exception class Facebook Unreachableif isinstance e ssl SSL Error exception class Facebook SSL Errorelif isinstance e HTTP Error exception class Facebook HTTP Errorelif isinstance e URL Error exception class Facebook URL Errorreturn exception class,When do we raise the original and new subclass to - preserve backwards compatibility ?,always,Always raise original and new subclass to preserve BC.,3.0,3.0,3.0,3.0
q277,def is namespace visible context namespace status None if context is admin return Trueif namespace['owner'] is None return Trueif 'visibility' in namespace if namespace['visibility'] 'public' return Trueif context owner is not None if context owner namespace['owner'] return Truereturn False,Is the namespace is visible in this context ?,Yes,"Yes, visible.",3.0,3.0,3.0,3.0
q278,def parse sequence sequence if not sequence or sequence[ 0 ] '<' or sequence[ -1 ] '>' return Nonewords sequence[ 1 -1 ] split '-' modifiers 0while words and words[ 0 ] in modifier names modifiers 1 << modifier names[words[ 0 ]] del words[ 0 ]if words and words[ 0 ] in type names type type names[words[ 0 ]]del words[ 0 ]else return Noneif binder classes[type] is Simple Binder if modifiers or words return Noneelse detail Noneelse if type in [ type names[s] for s in ' Key Press' ' Key Release' ] type re keysym reelse type re button reif not words detail Noneelif len words 1 and type re match words[ 0 ] detail words[ 0 ]else return Nonereturn modifiers type detail,What does the code get ?,a string which should describe an event sequence,String describing an event sequence.,3.0,2.0,3.0,3.0
q279,def enable task name return run cmd 'kapacitorenable{ 0 }' format name,Does the code enable a kapacitor task ?,Yes,Enables a task,3.0,3.0,3.0,2.0
q280,def empty urlconf request t Template EMPTY URLCONF TEMPLATE name ' Empty URL Conftemplate' c Context {'project name' settings SETTINGS MODULE split ' ' [0 ]} return Http Response Not Found t render c mimetype 'text/html',Does the code create an empty urlconf 404 error response ?,Yes,Yes,3.0,3.0,3.0,3.0
q281,def generate signed link user viewname args None kwargs None if hasattr user 'is authenticated' if not user is authenticated raise Runtime Error ' Needanauthenticatedusertosignalink ' user id user idelse user id userpath reverse viewname args args kwargs kwargs item '%s %s %s' % options get 'system url-prefix' path base 36 encode user id signature ' ' join get signer sign item rsplit ' ' 2 [1 ] return '%s? %s %s' % absolute uri path base 36 encode user id signature,Where is the given user signed for the given viewname with args and kwargs ?,an absolute url,Absolute URL,3.0,3.0,3.0,3.0
q282,def formatter nodetext optionstext caller None return nodetext,Does the code display the options ?,No,"
No options displayed",3.0,3.0,3.0,3.0
q283,def marketing link name link map settings MKTG URL LINK MA Penable mktg site configuration helpers get value 'ENABLE MKTG SITE' settings FEATURES get 'ENABLE MKTG SITE' False marketing urls configuration helpers get value 'MKTG URLS' settings MKTG URLS if enable mktg site and name in marketing urls if name 'ROOT' return marketing urls get 'ROOT' return urljoin marketing urls get 'ROOT' marketing urls get name elif not enable mktg site and name in link map if link map[name] is not None return reverse link map[name] else log debug ' Cannotfindcorrespondinglinkforname %s' name return '#',Why did the marketing site be enabled ?,since the marketing site is enabled by a setting,"The marketing site was enabled because it is needed for the ""find courses"" page and to build a url to be used when linking to program details on a marketing site.",2.0,2.0,2.0,3.0
q284,def test continuous error y np linspace 0 1 15 nm 1 Near Miss random state RND SEED version VERSION NEARMISS assert warns User Warning nm 1 fit X y,When is an error raised ?,when the target are continuous type,Continuous error,,,,
q285,def test get det debug values ignore prev value config compute test valuetry config compute test value 'ignore'x T vector for x val in op get debug values x assert Falsefinally config compute test value prev value,When should get_debug_values return ?,when debugger is ignore and some values are missing,The function should return `None` when the debugger is set to ignore missing values.,2.0,2.0,3.0,3.0
q286,def chain future a b def copy future assert future is a if b done returnif isinstance a Traceback Future and isinstance b Traceback Future and a exc info is not None b set exc info a exc info elif a exception is not None b set exception a exception else b set result a result a add done callback copy,For what purpose do two futures chain together when one completes ?,so that,When a future completes.,1.0,1.0,2.0,2.0
q287,def deploy print green ' Deployingto%s' % env host maintenance on backup pull cleanup migrate on if 'test' in env host db sync else db upgrade migrate db upgrade migrate off optimise maintenance off,For what purpose does the code perform the full upgrade cycle ?,need to prefix with demo,Full Upgrade Cycle,1.0,1.0,2.0,2.0
